UniprotID,manifest_order_index,base_completed,assigned_shard,assigned_gpu,assignment_reason
Q93A90,4324,false,2,2,remaining_order_4254_mod_4
Q93JW0,4325,false,3,3,remaining_order_4255_mod_4
Q93LE1,4326,false,0,0,remaining_order_4256_mod_4
Q94497,4327,false,1,1,remaining_order_4257_mod_4
Q94MV8,4328,false,2,2,remaining_order_4258_mod_4
Q95M18,4329,false,3,3,remaining_order_4259_mod_4
Q95N00,4330,false,0,0,remaining_order_4260_mod_4
Q969Q5,4331,false,1,1,remaining_order_4261_mod_4
Q96AX2,4332,false,2,2,remaining_order_4262_mod_4
Q96DA2,4333,false,3,3,remaining_order_4263_mod_4
Q96FC9,4334,false,0,0,remaining_order_4264_mod_4
Q96FM1,4335,false,1,1,remaining_order_4265_mod_4
Q96GQ7,4336,false,2,2,remaining_order_4266_mod_4
Q96H96,4337,false,3,3,remaining_order_4267_mod_4
Q96KN2,4338,false,0,0,remaining_order_4268_mod_4
Q96LW2,4339,false,1,1,remaining_order_4269_mod_4
Q96MI6,4340,false,2,2,remaining_order_4270_mod_4
Q96S21,4341,false,3,3,remaining_order_4271_mod_4
Q96YL0,4342,false,0,0,remaining_order_4272_mod_4
Q96YR7,4343,false,1,1,remaining_order_4273_mod_4
Q971U4,4344,false,2,2,remaining_order_4274_mod_4
Q972V9,4345,false,3,3,remaining_order_4275_mod_4
Q976I0,4346,false,0,0,remaining_order_4276_mod_4
Q979Y7,4347,false,1,1,remaining_order_4277_mod_4
Q97AR1,4348,false,2,2,remaining_order_4278_mod_4
Q97CT1,4349,false,3,3,remaining_order_4279_mod_4
Q97EX7,4350,false,0,0,remaining_order_4280_mod_4
Q97R30,4351,false,1,1,remaining_order_4281_mod_4
Q97VY3,4352,false,2,2,remaining_order_4282_mod_4
Q97W36,4353,false,3,3,remaining_order_4283_mod_4
Q97WM6,4354,false,0,0,remaining_order_4284_mod_4
Q97ZG0,4355,false,1,1,remaining_order_4285_mod_4
Q98218,4356,false,2,2,remaining_order_4286_mod_4
Q98234,4357,false,3,3,remaining_order_4287_mod_4
Q98267,4358,false,0,0,remaining_order_4288_mod_4
Q98500,4359,false,1,1,remaining_order_4289_mod_4
Q98829,4360,false,2,2,remaining_order_4290_mod_4
Q98CY3,4361,false,3,3,remaining_order_4291_mod_4
Q98CY6,4362,false,0,0,remaining_order_4292_mod_4
Q98E92,4363,false,1,1,remaining_order_4293_mod_4
Q98M93,4364,false,2,2,remaining_order_4294_mod_4
Q99611,4365,false,3,3,remaining_order_4295_mod_4
Q99CW3,4366,false,0,0,remaining_order_4296_mod_4
Q99LC9,4367,false,1,1,remaining_order_4297_mod_4
Q99MD6,4368,false,2,2,remaining_order_4298_mod_4
Q99N13,4369,false,3,3,remaining_order_4299_mod_4
Q99P75,4370,false,0,0,remaining_order_4300_mod_4
Q99P96,4371,false,1,1,remaining_order_4301_mod_4
Q99SH6,4372,false,2,2,remaining_order_4302_mod_4
Q99UW8,4373,false,3,3,remaining_order_4303_mod_4
Q99V39,4374,false,0,0,remaining_order_4304_mod_4
Q99VF6,4375,false,1,1,remaining_order_4305_mod_4
Q99X56,4376,false,2,2,remaining_order_4306_mod_4
Q9A5K9,4377,false,3,3,remaining_order_4307_mod_4
Q9ABI2,4378,false,0,0,remaining_order_4308_mod_4
Q9AQ98,4379,false,1,1,remaining_order_4309_mod_4
Q9AQQ8,4380,false,2,2,remaining_order_4310_mod_4
Q9AQT6,4381,false,3,3,remaining_order_4311_mod_4
Q9AT63,4382,false,0,0,remaining_order_4312_mod_4
Q9AUD8,4383,false,1,1,remaining_order_4313_mod_4
Q9AXH9,4384,false,2,2,remaining_order_4314_mod_4
Q9BRR3,4385,false,3,3,remaining_order_4315_mod_4
Q9BVL4,4386,false,0,0,remaining_order_4316_mod_4
Q9BZG1,4387,false,1,1,remaining_order_4317_mod_4
Q9BZG8,4388,false,2,2,remaining_order_4318_mod_4
Q9C0D9,4389,false,3,3,remaining_order_4319_mod_4
Q9C4Z4,4390,false,0,0,remaining_order_4320_mod_4
Q9C5W0,4391,false,1,1,remaining_order_4321_mod_4
Q9C5Y2,4392,false,2,2,remaining_order_4322_mod_4
Q9CAC3,4393,false,3,3,remaining_order_4323_mod_4
Q9CBM2,4394,false,0,0,remaining_order_4324_mod_4
Q9CD51,4395,false,1,1,remaining_order_4325_mod_4
Q9CFB4,4396,false,2,2,remaining_order_4326_mod_4
Q9CJN8,4397,false,3,3,remaining_order_4327_mod_4
Q9CRB3,4398,false,0,0,remaining_order_4328_mod_4
Q9CXY9,4399,false,1,1,remaining_order_4329_mod_4
Q9CZT8,4400,false,2,2,remaining_order_4330_mod_4
