case_id,pollutant_name,parent_comp_id,parent_url,parent_smiles_original,parent_smiles_canonical,parent_inchikey,reaction_id,reaction_url,reaction_text,product_name,product_comp_id,product_url,product_smiles_original,product_smiles_canonical,product_inchikey,evidence_level,note,strict_v0_1_status
SPD-BBD-naph,Naphthalene,c0333,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0333&ptype=c,c1ccc2ccccc2c1,c1ccc2ccccc2c1,UFWIBTONFRDIAS-UHFFFAOYSA-N,r1616,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r1616,,"2,3-Dihydroxynaphthalene",c1009,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c1009&ptype=c,Oc1cc2ccccc2cc1O,Oc1cc2ccccc2cc1O,JRNGUTKWMSBIBF-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-nb,Nitrobenzene,c0313,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0313&ptype=c,[O-][N+](=O)c1ccccc1,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,r0302,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0302,,Nitrosobenzene,c0314,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0314&ptype=c,O=Nc1ccccc1,O=Nc1ccccc1,NLRKCXQQSUWLCH-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-nb,Nitrobenzene,c0313,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0313&ptype=c,[O-][N+](=O)c1ccccc1,O=[N+]([O-])c1ccccc1,LQNUZADURLCDLV-UHFFFAOYSA-N,r0306,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0306,,Catechol,c0097,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0097&ptype=c,Oc1ccccc1O,Oc1ccccc1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pha,Phenanthrene,c0431,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0431&ptype=c,c1ccc2c(c1)ccc1ccccc21,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,r0455,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0455,,"cis-3,4-Dihydroxy-3,4-dihydrophenanthrene",c0434,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0434&ptype=c,O[C@H]1C=Cc2ccc3ccccc3c2[C@H]1O,O[C@@H]1c2c(ccc3ccccc23)C=C[C@@H]1O,FOTICWSJABVKPW-JSGCOSHPSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pha,Phenanthrene,c0431,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0431&ptype=c,c1ccc2c(c1)ccc1ccccc21,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,r0492,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0492,,"Phenanthrene-1,2-oxide",c0449,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0449&ptype=c,O1C2C=Cc3c(ccc4ccccc34)C12,C1=CC2OC2c2ccc3ccccc3c21,ALTXUIJFJAHUPS-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pha,Phenanthrene,c0431,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0431&ptype=c,c1ccc2c(c1)ccc1ccccc21,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,r0495,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0495,,"Phenanthrene-9,10-oxide",c0452,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0452&ptype=c,O1C2C1c1ccccc1-c1ccccc21,c1ccc2c(c1)-c1ccccc1C1OC21,PXPGRGGVENWVBD-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pha,Phenanthrene,c0431,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0431&ptype=c,c1ccc2c(c1)ccc1ccccc21,c1ccc2c(c1)ccc1ccccc12,YNPNZTXNASCQKK-UHFFFAOYSA-N,r0498,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0498,,1-Phenanthrol,c0450,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0450&ptype=c,Oc1cccc2c1ccc1ccccc21,Oc1cccc2c1ccc1ccccc12,GTBXZWADMKOZQJ-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pthn,Parathion,c0084,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0084&ptype=c,CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,r0066,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0066,,Paraoxon,c0088,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0088&ptype=c,CCOP(=O)(OCC)Oc1ccc(cc1)[N+]([O-])=O,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1,WYMSBXTXOHUIGT-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pthn,Parathion,c0084,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0084&ptype=c,CCOP(=S)(OCC)Oc1ccc(cc1)[N+]([O-])=O,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,LCCNCVORNKJIRZ-UHFFFAOYSA-N,r0068,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0068,,Aminoparathion,c0089,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0089&ptype=c,CCOP(=S)(OCC)Oc1ccc(N)cc1,CCOP(=S)(OCC)Oc1ccc(N)cc1,XIZOTXGJXSTQDI-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pyr,Pyrene,c0841,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0841&ptype=c,c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,BBEAQIROQSPTKN-UHFFFAOYSA-N,r0934,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0934,,"cis-4,5-Dihydroxy-4,5-dihydropyrene",c0842,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0842&ptype=c,O[C@H]1[C@@H](O)c2cccc3ccc4cccc1c4c23,O[C@@H]1c2cccc3ccc4cccc(c4c23)[C@@H]1O,NIUGQCSXPHANNG-IYBDPMFKSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pyr,Pyrene,c0841,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0841&ptype=c,c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,BBEAQIROQSPTKN-UHFFFAOYSA-N,r0941,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0941,,"Pyrene-4,5-oxide",c0848,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0848&ptype=c,O1C2C1c1cccc3ccc4cccc2c4c13,c1cc2c3c(c1)ccc1cccc(c13)C1OC21,RJCXKHSGIOKCID-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-pyr,Pyrene,c0841,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0841&ptype=c,c1cc2ccc3cccc4ccc(c1)c2c34,c1cc2ccc3cccc4ccc(c1)c2c34,BBEAQIROQSPTKN-UHFFFAOYSA-N,r0943,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0943,,"Pyrene-1,2-oxide",c0850,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0850&ptype=c,O1C2C=C3C=Cc4cccc5ccc(C12)c3c45,C1=c2ccc3cccc4ccc(c2c43)C2OC12,IRYBKFGKUNZRSI-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tbp2,Tetrabromobisphenol A,c0763,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0763&ptype=c,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,VEORPZCZECFIRK-UHFFFAOYSA-N,r0821,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0821,,"3,3',5-Tribromobisphenol A",c0768,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0768&ptype=c,CC(C)(c1ccc(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,CC(C)(c1ccc(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,WYBOEVJIVYIEJL-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tce2,Tetrachloroethene,c0004,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=c&compID=c0004,ClC(Cl)=C(Cl)Cl,ClC(Cl)=C(Cl)Cl,CYTYCFOTNPOANT-UHFFFAOYSA-N,r0349,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0349,,"1,1,2-Trichloroethylene",c0009,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0009&ptype=c,ClC=C(Cl)Cl,ClC=C(Cl)Cl,XSTXAVWGXDQKEL-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tol,Toluene,c0114,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0114&ptype=c,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,r0253,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0253,,"Toluene-cis-1,2-dihydrodiol",c0283,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0283&ptype=c,CC1=CC=C[C@@H](O)[C@H]1O,CC1=CC=C[C@@H](O)[C@H]1O,FTZZKLFGNQOODA-RQJHMYQMSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tol,Toluene,c0114,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0114&ptype=c,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,r0255,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0255,,4-Hydroxytoluene,c0127,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0127&ptype=c,Cc1ccc(O)cc1,Cc1ccc(O)cc1,IWDCLRJOBJJRNH-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tol,Toluene,c0114,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0114&ptype=c,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,r0260,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0260,,2-Hydroxytoluene,c0281,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0281&ptype=c,Cc1ccccc1O,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
SPD-BBD-tol,Toluene,c0114,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0114&ptype=c,Cc1ccccc1,Cc1ccccc1,YXFVVABEGXRONW-UHFFFAOYSA-N,r0265,https://eawag-bbd.ethz.ch/servlets/pageservlet?ptype=r&reacID=r0265,,Benzyl alcohol,c0278,https://eawag-bbd.ethz.ch/servlets/pageservlet?compID=c0278&ptype=c,OCc1ccccc1,OCc1ccccc1,WVDDGKGOMKODPV-UHFFFAOYSA-N,eawag_bbd_reaction_page,,accepted_strict_single_parent_v0_1
